ID,English_Text,Khmer_Text
1,"On the morning of 11 September 2023, Her Excellency CHAM Nimul, Minister of Commerce held a courtesy call with His Excellency Takahashi Fumiaki, former Japan Ambassador to Cambodia",នាព្រឹកថ្ងៃទី១១ ខែកញ្ញា ឆ្នាំ២០២៣ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានទទួលជួបសម្តែងការគួរសម និងពិភាក្សាការងារជាមួយ ឯកឧត្តម តាកាហាស៊ី ហ្វូមីអាគី (Takahashi Fumiaki) អតីតឯកអគ្គរាជទូតជប៉ុនប្រចាំប្រទេសកម្ពុជា និងជាប្រធានសមាគមជប៉ុន
2,President of the Japan-Cambodia Association,former Japan Ambassador to Cambodia and President of the Japan
3,"Pacific Division, International Fund for Agricultural Development (IFAD)",International Fund for Agricultural Development (IFAD).
4,"On the morning of 12 September 2023,  Her Excellency CHAM Nimul, Minister of Commerce, held a courtesy call with Mr",(ក្រសួងពាណិជ្ជកម្ម) នាព្រឹកថ្ងៃទី១២ ខែកញ្ញា ឆ្នាំ២០២៣ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម ទទួលជួបសម្តែងការគួរសមជាមួយលោក Frew Behabtu នាយកប្រចាំប្រទេសមូលនិធិអន្តរជាតិសម្រាប់អភិវឌ្ឍន៍កសិកម្ម នៅអាស៊ីប៉ាស៊ីហ្វីក (International Fund for Agricultural Development)
5,(Ministry of Commerce),(ក្រសួងពាណិជ្ជកម្ម)
6,"On the morning of 12 September 2023,  Her Excellency CHAM Nimul, Minister of Commerce, chaired a meeting with the Consumer Protection Competition",នាព្រឹកថ្ងៃទី១២ ខែកញ្ញា ឆ្នាំ២០២៣ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំកិច្ចប្រជុំជាមួយអគ្គនាយកដ្ឋានការពារអ្នកប្រើប្រាស់ កិច្ចការប្រកួតប្រជែង និងបង្ក្រាបការក្លែងបន្លំ
7,(Phnom Penh),(ភ្នំពេញ)
8,", Ltd",Ltd.
9,"On the morning of 19 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call on Mr",នាព្រឹកថ្ងៃទី១៩ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្មបានទទួលជួបសម្តែងការគួរសមជាមួយលោក Luo Kevin  អគ្គនាយកក្រុមហ៊ុន OneRoad Group (Cambodia) Co.
10,(Phnom Penh),(ភ្នំពេញ)
11,"On the morning of 19 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from Mr",នាព្រឹកថ្ងៃទី១៩ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្មបានទទួលជួបសម្តែងការគួរសមជាមួយលោក ANDREW PETER HEWSON នាយកគ្រប់គ្រងថ្មី នៃក្រុមហ៊ុន ហ៊ិននីគែនខេមបូឌា Heineken Cambodia ដែលទើបត្រូវបានតែងតាំងថ្មី
12,(Phnom Penh),(ភ្នំពេញ)
13,"On the morning of 19 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from the American Chamber of Commerce in Cambodia",នាព្រឹកថ្ងៃទី១៩ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្មបានទទួលជួបសម្តែងការគួរសមជាមួយសភាពាណិជ្ជកម្មអាមេរិកប្រចាំកម្ពុជា
14,(Phnom Penh),(ភ្នំពេញ)
15,"On the afternoon of 19 September 2023, at the Ministry of Commerce, Her Excellency CHAM Nimul, Minister of Commerce, received a courtesy call from delegations of Pricerite Group Limited",នារសៀលថ្ងៃទី១៩ ខែកញ្ញា ឆ្នាំ២០២៣ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្មបានទទួលជួបសម្តែងការគួរសមជាមួយគណៈប្រតិភូរបស់ក្រុមហ៊ុន Pricerite Group Limited
